Year,Name,Frequency,Rank
1980,Michael,732,1
1980,Christopher,633,2
1980,David,537,3
1980,Jason,526,4
1980,Ryan,511,5
1980,Robert,363,6
1980,James,360,7
1980,Matthew,336,8
1980,Daniel,311,9
1980,Kevin,305,10
1980,Justin,270,11
1980,Scott,237,12
1980,John,228,13
1980,Mark,225,14
1980,Jeffrey,223,15
1980,Adam,222,16
1980,Bradley,217,17
1980,Steven,210,18
1980,Andrew,207,19
1980,Tyler,207,19
1980,Jonathan,203,21
1980,Travis,171,22
1980,Trevor,168,23
1980,Timothy,166,24
1980,Jeremy,165,25
1980,William,163,26
1980,Joshua,162,27
1980,Chad,156,28
1980,Richard,156,28
1980,Nathan,154,30
1980,Jesse,148,31
1980,Joseph,147,32
1980,Nicholas,147,32
1980,Stephen,147,32
1980,Aaron,145,35
1980,Curtis,138,36
1980,Derek,133,37
1980,Shawn,133,37
1980,Dustin,132,39
1980,Benjamin,130,40
1980,Thomas,128,41
1980,Brian,127,42
1980,Paul,127,42
1980,Cory,126,44
1980,Eric,126,44
1980,Shaun,123,46
1980,Shane,122,47
1980,Sean,121,48
1980,Gregory,116,49
1980,Kyle,110,50
1980,Peter,104,51
1980,Darren,102,52
1980,Colin,100,53
1980,Patrick,99,54
1980,Craig,97,55
1980,Jordan,90,56
1980,Kenneth,85,57
1980,Brent,84,58
1980,Douglas,80,59
1980,Ian,80,59
1980,Anthony,77,61
1980,Cameron,77,61
1980,Clayton,71,63
1980,Brett,69,64
1980,Kelly,69,64
1980,Keith,68,66
1980,Jamie,66,67
1980,Clinton,65,68
1980,Corey,65,68
1980,Joel,64,70
1980,Jeffery,63,71
1980,Cody,59,72
1980,Wesley,59,72
1980,Neil,58,74
1980,Donald,57,75
1980,Lee,57,75
1980,Troy,56,77
1980,Dallas,54,78
1980,Jared,54,78
1980,Todd,54,78
1980,Darcy,53,81
1980,Charles,52,82
1980,Philip,52,82
1980,Bryan,51,84
1980,Brandon,50,85
1980,Graham,50,85
1980,Geoffrey,48,87
1980,Marc,48,87
1980,Alexander,47,89
1980,Micheal,47,89
1980,Sheldon,46,91
1980,Dale,45,92
1980,Blair,44,93
1980,Ronald,44,93
1980,Dennis,43,95
1980,Edward,43,95
1980,Kristopher,43,95
1980,Wayne,43,95
1980,Darryl,42,99
1980,Gordon,41,100
1980,Russell,40,101
1980,Allan,39,102
1980,Alan,38,103
1980,Grant,37,104
1980,Raymond,37,104
1980,Dean,36,106
1980,George,36,106
1980,Mitchell,36,106
1980,Barry,35,109
1980,Gary,35,109
1980,Kurtis,35,109
1980,Robin,35,109
1980,Jacob,34,113
1980,Jay,34,113
1980,Randy,34,113
1980,Terry,33,116
1980,Tyson,33,116
1980,Byron,32,118
1980,Warren,31,119
1980,Adrian,30,120
1980,Brendan,30,120
1980,Kent,29,122
1980,Kirk,29,122
1980,Mathew,29,122
