Year,Name,Frequency,Rank
1920,Mary,639,1
1920,Margaret,238,2
1920,Marie,171,3
1920,Dorothy,163,4
1920,Annie,158,5
1920,Helen,152,6
1920,Jean,106,7
1920,Elizabeth,105,8
1920,Florence,94,9
1920,Ruth,87,10
1920,Catherine,84,11
1920,Doris,81,12
1920,Alice,78,13
1920,Edith,78,13
1920,Muriel,67,15
1920,Hazel,66,16
1920,Marjorie,65,17
1920,Kathleen,63,18
1920,Evelyn,62,19
1920,Lillian,61,20
1921,Mary,626,1
1921,Margaret,202,2
1921,Dorothy,185,3
1921,Marie,167,4
1921,Helen,146,5
1921,Annie,126,6
1921,Jean,107,7
1921,Florence,106,8
1921,Elizabeth,100,9
1921,Marion,89,10
1921,Catherine,82,11
1921,Doris,81,12
1921,Alice,80,13
1921,Mildred,79,14
1921,Marjorie,75,15
1921,Muriel,71,16
1921,Lillian,70,17
1921,Ruth,70,17
1921,Edith,68,19
1921,Evelyn,66,20
1922,Mary,594,1
1922,Margaret,225,2
1922,Marie,156,3
1922,Dorothy,152,4
1922,Helen,138,5
1922,Annie,122,6
1922,Catherine,100,7
1922,Elizabeth,97,8
1922,Doris,96,9
1922,Ruth,95,10
1922,Florence,90,11
1922,Jean,81,12
1922,Marion,76,13
1922,Kathleen,69,14
1922,Muriel,69,14
1922,Edith,68,16
1922,Lillian,67,17
1922,Mildred,63,18
1922,Marjorie,60,19
1922,Evelyn,58,20
1923,Mary,556,1
1923,Margaret,196,2
1923,Marie,164,3
1923,Dorothy,148,4
1923,Helen,126,5
1923,Jean,121,6
1923,Annie,108,7
1923,Elizabeth,86,8
1923,Florence,86,8
1923,Ruth,83,10
1923,Catherine,74,11
1923,Marjorie,72,12
1923,Doris,70,13
1923,Evelyn,69,14
1923,Lillian,67,15
1923,Marion,66,16
1923,Edith,57,17
1923,Frances,54,18
1923,Alice,53,19
1923,Jessie,53,19
1924,Mary,563,1
1924,Margaret,203,2
1924,Marie,154,3
1924,Dorothy,136,4
1924,Annie,128,5
1924,Helen,124,6
1924,Jean,124,6
1924,Marion,82,8
1924,Catherine,78,9
1924,Doris,76,10
1924,Florence,76,10
1924,Elizabeth,71,12
1924,Marjorie,69,13
1924,Ruth,66,14
1924,Evelyn,60,15
1924,Alice,58,16
1924,Kathleen,57,17
1924,Frances,56,18
1924,Shirley,53,19
1924,Lillian,50,20
1925,Mary,628,1
1925,Margaret,231,2
1925,Helen,152,3
1925,Dorothy,139,4
1925,Marie,135,5
1925,Jean,113,6
1925,Annie,110,7
1925,Florence,89,8
1925,Marjorie,85,9
1925,Catherine,84,10
1925,Marion,79,11
1925,Elizabeth,77,12
1925,Doris,75,13
1925,Shirley,75,13
1925,Alice,71,15
1925,Ruth,70,16
1925,Lillian,66,17
1925,Muriel,63,18
1925,Mildred,59,19
1925,Evelyn,57,20
1926,Mary,501,1
1926,Margaret,231,2
1926,Marie,148,3
1926,Helen,135,4
1926,Dorothy,122,5
1926,Elizabeth,108,6
1926,Annie,103,7
1926,Jean,95,8
1926,Catherine,91,9
1926,Marion,88,10
1926,Alice,77,11
1926,Doris,75,12
1926,Florence,75,12
1926,Marjorie,74,14
1926,Evelyn,72,15
1926,Frances,67,16
1926,Shirley,67,16
1926,Ruth,64,18
1926,Kathleen,62,19
1926,Anna,54,20
1927,Mary,522,1
1927,Margaret,193,2
1927,Marie,164,3
1927,Dorothy,129,4
1927,Helen,129,4
1927,Annie,107,6
1927,Catherine,102,7
1927,Elizabeth,100,8
1927,Jean,100,8
1927,Shirley,99,10
1927,Marion,85,11
1927,Florence,84,12
1927,Doris,76,13
1927,Theresa,69,14
1927,Marjorie,68,15
1927,Mildred,63,16
1927,Frances,56,17
