Year,Name,Frequency,Rank
1920,John,451,1
1920,Joseph,303,2
1920,James,269,3
1920,William,269,3
1920,George,247,5
1920,Charles,150,6
1920,Robert,142,7
1920,Donald,138,8
1920,Harold,121,9
1920,Arthur,111,10
1920,Thomas,102,11
1920,Edward,80,12
1920,Gerald,77,13
1920,Walter,77,13
1920,Gordon,71,15
1920,Ralph,69,16
1920,Albert,62,17
1920,Kenneth,62,17
1920,Douglas,61,19
1920,Ronald,57,20
1921,John,490,1
1921,Joseph,355,2
1921,William,279,3
1921,James,244,4
1921,George,209,5
1921,Charles,173,6
1921,Donald,165,7
1921,Robert,156,8
1921,Arthur,112,9
1921,Harold,109,10
1921,Gerald,90,11
1921,Edward,87,12
1921,Thomas,87,12
1921,Ronald,69,14
1921,Gordon,68,15
1921,Walter,67,16
1921,Douglas,66,17
1921,Kenneth,66,17
1921,Ralph,66,17
1921,Albert,65,20
1922,John,456,1
1922,Joseph,320,2
1922,James,279,3
1922,William,259,4
1922,Donald,191,5
1922,George,187,6
1922,Charles,169,7
1922,Robert,152,8
1922,Arthur,113,9
1922,Harold,107,10
1922,Thomas,94,11
1922,Walter,82,12
1922,Gerald,81,13
1922,Edward,77,14
1922,Ralph,77,14
1922,Kenneth,72,16
1922,Gordon,71,17
1922,Douglas,70,18
1922,Alexander,63,19
1922,Henry,63,19
1923,John,375,1
1923,Joseph,303,2
1923,James,232,3
1923,William,214,4
1923,George,211,5
1923,Donald,185,6
1923,Charles,154,7
1923,Robert,132,8
1923,Harold,115,9
1923,Gerald,90,10
1923,Arthur,75,11
1923,Douglas,71,12
1923,Edward,70,13
1923,Walter,70,13
1923,Thomas,69,15
1923,Kenneth,67,16
1923,Ronald,67,16
1923,Harry,62,18
1923,Francis,59,19
1923,Gordon,57,20
1924,John,435,1
1924,Joseph,306,2
1924,James,247,3
1924,William,246,4
1924,George,196,5
1924,Donald,195,6
1924,Charles,160,7
1924,Robert,141,8
1924,Harold,107,9
1924,Gerald,105,10
1924,Arthur,84,11
1924,Thomas,81,12
1924,Gordon,79,13
1924,Douglas,65,14
1924,Frederick,61,15
1924,Ronald,58,16
1924,Frank,57,17
1924,Kenneth,57,17
1924,Albert,56,19
1924,Edward,56,19
1925,John,501,1
1925,William,276,2
1925,Joseph,266,3
1925,James,223,4
1925,George,209,5
1925,Donald,203,6
1925,Robert,161,7
1925,Charles,138,8
1925,Arthur,102,9
1925,Harold,94,10
1925,Gerald,89,11
1925,Thomas,87,12
1925,Edward,79,13
1925,Gordon,71,14
1925,Kenneth,71,14
1925,Walter,64,16
1925,Francis,62,17
1925,Alexander,61,18
1925,Ronald,60,19
1925,Douglas,55,20
1926,John,402,1
1926,Joseph,301,2
1926,James,245,3
1926,William,237,4
1926,Donald,202,5
1926,George,191,6
1926,Robert,158,7
1926,Charles,138,8
1926,Harold,123,9
1926,Arthur,97,10
1926,Gerald,96,11
1926,Edward,73,12
1926,Thomas,72,13
1926,Gordon,69,14
1926,Francis,66,15
1926,Douglas,61,16
1926,Ronald,59,17
1926,Walter,59,17
1926,Kenneth,57,19
1926,Alexander,53,20
1926,Ralph,53,20
1927,John,412,1
1927,Joseph,270,2
1927,James,234,3
1927,William,233,4
1927,George,189,5
1927,Donald,171,6
1927,Charles,159,7
1927,Robert,147,8
1927,Gerald,108,9
1927,Arthur,104,10
1927,Harold,102,11
1927,Thomas,74,12
1927,Douglas,73,13
1927,Ronald,73,13
1927,Edward,72,15
1927,Gordon,71,16
1927,Kenneth,62,17
1927,Francis,61,18
1927,Daniel,52,19
1927,Ralph,52,19
1928,John,392,1
1928,Joseph,273,2
1928,James,239,3
1928,William,237,4
1928,Donald,204,5
1928,Robert,198,6
1928,George,196,7
1928,Charles,138,8
1928,Gerald,98,9
1928,Harold,98,9
1928,Gordon,78,11
1928,Ronald,75,12
1928,Kenneth,74,13
1928,Arthur,73,14
1928,Thomas,73,14
1928,Edward,66,16
1928,Francis,63,17
1928,Alexander,61,18
1928,Douglas,58,19
1928,Walter,48,20
1929,John,414,1
1929,Joseph,284,2
1929,William,254,3
1929,James,240,4
1929,George,187,5
1929,Donald,178,6
1929,Robert,153,7
1929,Charles,150,8
1929,Gerald,106,9
1929,Thomas,86,10
1929,Harold,83,11
1929,Kenneth,82,12
1929,Arthur,77,13
1929,Walter,73,14
1929,Douglas,70,15
1929,Ronald,60,16
1929,Gordon,58,17
1929,Edward,57,18
1929,David,56,19
1929,Raymond,56,19
1930,John,493,1
1930,James,253,2
1930,William,245,3
1930,Joseph,243,4
1930,Donald,208,5
1930,George,175,6
1930,Robert,161,7
1930,Charles,125,8
1930,Gerald,119,9
1930,Ronald,110,10
1930,Kenneth,89,11
1930,Thomas,84,12
1930,Douglas,82,13
1930,Arthur,78,14
1930,Harold,74,15
1930,Raymond,71,16
1930,Edward,70,17
1930,Gordon,69,18
1930,Francis,61,19
1930,Roy,54,20
1930,Walter,54,20
1931,John,438,1
1931,Joseph,305,2
1931,William,277,3
1931,James,234,4
1931,Donald,228,5
1931,Robert,192,6
1931,George,191,7
1931,Charles,160,8
1931,Gerald,123,9
1931,Kenneth,91,10
1931,Edward,90,11
1931,Ronald,86,12
1931,Douglas,85,13
1931,Gordon,82,14
1931,Harold,76,15
1931,Arthur,72,16
1931,Raymond,65,17
1931,Thomas,63,18
1931,Frederick,58,19
1931,Daniel,57,20
1932,John,412,1
1932,Joseph,305,2
1932,William,281,3
1932,James,268,4
1932,Donald,233,5
1932,Robert,182,6
1932,George,181,7
1932,Charles,151,8
1932,Gerald,136,9
1932,Ronald,113,10
1932,Harold,91,11
1932,Douglas,85,12
1932,Arthur,76,13
1932,Kenneth,72,14
1932,Raymond,71,15
1932,Gordon,65,16
1932,Bernard,64,17
1932,Thomas,64,17
1932,Ralph,58,19
1932,Alexander,57,20
1933,John,406,1
1933,Joseph,295,2
1933,William,248,3
1933,James,233,4
1933,Donald,208,5
1933,Robert,195,6
1933,George,171,7
1933,Charles,148,8
1933,Ronald,127,9
1933,Gerald,96,10
1933,Kenneth,93,11
1933,Arthur,81,12
1933,Harold,78,13
1933,Thomas,72,14
1933,Douglas,71,15
1933,Gordon,68,16
1933,Edward,64,17
1933,Walter,57,18
1933,David,53,19
1933,Richard,53,19
1934,John,428,1
1934,James,291,2
1934,Joseph,287,3
1934,William,260,4
1934,Robert,212,5
1934,Donald,204,6
1934,Ronald,162,7
1934,George,156,8
1934,Charles,147,9
1934,Douglas,100,10
1934,Gerald,100,10
1934,Edward,86,12
1934,Harold,85,13
1934,Thomas,83,14
1934,Kenneth,78,15
1934,David,75,16
1934,Gordon,72,17
1934,Arthur,58,18
1934,Raymond,58,18
1934,Roy,55,20
1935,John,443,1
1935,James,293,2
1935,Joseph,278,3
1935,William,241,4
1935,Donald,229,5
1935,Robert,210,6
1935,George,193,7
1935,Charles,149,8
1935,Ronald,141,9
1935,Gerald,101,10
1935,Thomas,88,11
1935,David,84,12
1935,Harold,82,13
1935,Kenneth,81,14
1935,Douglas,76,15
1935,Gordon,67,16
1935,Edward,65,17
1935,Arthur,61,18
1935,Richard,61,18
1935,Francis,56,20
1936,John,483,1
1936,James,284,2
1936,Joseph,276,3
1936,Robert,253,4
1936,William,250,5
1936,Donald,224,6
1936,George,186,7
1936,Charles,163,8
1936,Ronald,145,9
1936,David,110,10
1936,Gerald,107,11
1936,Edward,99,12
1936,Kenneth,92,13
1936,Harold,86,14
1936,Thomas,86,14
1936,Gordon,84,16
1936,Douglas,75,17
1936,Raymond,70,18
1936,Arthur,60,19
1936,Francis,55,20
1937,John,435,1
1937,Joseph,293,2
1937,James,281,3
1937,Robert,272,4
1937,William,261,5
1937,Donald,221,6
1937,George,204,7
1937,Charles,136,8
1937,Gerald,120,9
1937,David,118,10
1937,Ronald,115,11
1937,Kenneth,106,12
1937,Thomas,95,13
1937,Edward,84,14
1937,Douglas,75,15
1937,Arthur,69,16
1937,Gordon,68,17
1937,Raymond,65,18
1937,Richard,59,19
1937,Francis,57,20
1938,John,483,1
1938,James,292,2
1938,Robert,264,3
1938,Joseph,252,4
1938,William,245,5
1938,Donald,204,6
1938,Charles,169,7
1938,George,168,8
1938,David,144,9
1938,Ronald,136,10
1938,Gerald,113,11
